ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
MWI,99444,Age specific fertility rate: 35-39,104,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2014,MIS,,,,
MWI,99450,Age specific fertility rate: 40-44,80,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2014,MIS,,,,
MWI,99445,Age specific fertility rate: 45-49,35,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2014,MIS,,,,
MWI,99451,Total fertility rate 15-49,5.1,1,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2014,MIS,,,,
MWI,99446,Total fertility rate 15-44,4.9,1,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2014,MIS,,,,
MWI,99452,General fertility rate,179,0,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2014,MIS,,,,
MWI,99460,Crude birth rate,34.7,1,MW,Malawi,2014,MW2014MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2014,MIS,,,,
MWI,100443,Age specific fertility rate: 15-19,136,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2015-16,DHS,,,,
MWI,100444,Age specific fertility rate: 20-24,216,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2015-16,DHS,,,,
MWI,100465,Age specific fertility rate: 25-29,193,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2015-16,DHS,,,,
MWI,100466,Age specific fertility rate: 30-34,157,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2015-16,DHS,,,,
MWI,100471,Age specific fertility rate: 35-39,114,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2015-16,DHS,,,,
MWI,100467,Age specific fertility rate: 40-44,53,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2015-16,DHS,,,,
MWI,100469,Age specific fertility rate: 45-49,18,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2015-16,DHS,,,,
MWI,100468,Total fertility rate 15-49,4.4,1,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2015-16,DHS,,,,
MWI,100470,Total fertility rate 15-44,4.3,1,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2015-16,DHS,,,,
MWI,100477,General fertility rate,158,0,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2015-16,DHS,,,,
MWI,100478,Crude birth rate,32.2,1,MW,Malawi,2015,MW2015DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2015-16,DHS,,,,
MWI,190554,Total wanted fertility rate,3.4,1,MW,Malawi,2015,MW2015DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2015-16,DHS,,,,
MWI,100597,Age specific fertility rate: 15-19,138,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2017,MIS,,,,
MWI,100592,Age specific fertility rate: 20-24,216,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2017,MIS,,,,
MWI,100593,Age specific fertility rate: 25-29,178,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2017,MIS,,,,
MWI,100594,Age specific fertility rate: 30-34,146,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2017,MIS,,,,
MWI,100595,Age specific fertility rate: 35-39,95,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2017,MIS,,,,
MWI,100598,Age specific fertility rate: 40-44,49,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2017,MIS,,,,
MWI,100602,Age specific fertility rate: 45-49,16,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2017,MIS,,,,
MWI,100600,Total fertility rate 15-49,4.2,1,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2017,MIS,,,,
MWI,100603,Total fertility rate 15-44,4.1,1,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2017,MIS,,,,
MWI,100606,General fertility rate,154,0,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2017,MIS,,,,
MWI,100607,Crude birth rate,32.1,1,MW,Malawi,2017,MW2017MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2017,MIS,,,,
